AGL23	BIOGENESIS OF ORGANELLES
AUXIN	EFFICIENCY OF NUCLEOLIN-DEPENDENT RIBOSOMAL PROCESSING
SAV6	GENOME INTEGRITY
ABCG2 ABCG6 ABCG20 TRIPLE MUTANT PLANTS	
ATDI19-1 AND ATDI19-3	DEHYDRATION
ATYAK1	ANNEXIN1, ANNEXIN2 AND RBD
STO	FLC
IAN	CAMALEXIN
RCCR	OXYGEN
CAT2 ICDH MUTANTS	RESISTANCE TO BACTERIA
UVH6-1 MUTANTS	WILD-TYPE ATXPD DNA
ATSOT12	EXPRESSION
AP2-2A	CARGO PROTEINS
ARP5	MULTICELLULAR DEVELOPMENT
DXO1	MORPHOLOGICAL AND MOLECULAR ABERRATIONS
TEN1-3	SINGLE-STRAND TELOMERIC DNA
A. THALIANA	DIVERSIFYING AND GAINING ADDITIONAL FUNCTIONS
ATGLCAT14A	BIOSYNTHESIS OF TYPE II AG
JMJ18	FT EXPRESSION
NEOXANTHIN	NXD1 MUTANT
NMT1	COORDINATED ORGAN DEVELOPMENT
COL3	DAYLENGTH-SENSITIVE REGULATOR OF SHOOT BRANCHING
ZN	PLANT GROWTH
PLDZ2	DIACYLGLYCEROL
GENE	COPPER TRANSPORT
CELLULOSE	XYLANS
ATPS1	CONTROL OF PS MEIOTIC DEFECT
JAG	MICROSPORANGIA
PME48	MALE GAMETOPHYTE
BOP1	PRE-RRNA PROCESSING
NUP98A	CO-CHECKPOINT
PSBH GENE	SMALL, HYDROPHILIC SUBUNIT OF PSII COMPLEX
AKIN10	AKINBETA2
SCOPOLETIN/SCOPOLIN	CYP98A3
PME34	TRANSPIRATION
CIPK23	AKT1
PPB	NUCLEAR-ENVELOPE BREAKDOWN
ABCG2 ABCG6 ABCG20 TRIPLE MUTANT PLANTS	
ARABIDOPSIS THALIANA	RUBREDOXIN ORTHOLOGS
ACT	DTX18
MSI1	H3K4 DI-METHYLATION
BRCC36	BRCA1
CYP81F2	INDOL-3-YLMETHYL GLUCOSINOLATE
DREB2A	HEAT SHOCK
ATNRP1	HEAT STRESS
SMU1	NUCLEUS
HEI10	MEIOTIC CROSSOVERS
ATALKBH9B	CYTOPLASMIC GRANULES
TAG1	ZINC
BAM2	PLASTID
ATPUB30	SALT STRESS
ABI4	RETROGRADE-REGULATED GENE PROMOTER
GENE	FLAVINS
FFT	MULTIDRUG AND TOXIN EFFLUX FAMILY TRANSPORTER
COI1	RESISTANCE TO INSECT HERBIVORY
MED7 PARALOGS	IN REGULATING GENES
MEA	GENE TRANSCRIPTION
ATSIZ1	GERMINATION ENERGY
PAP85	ER TRANSITION
GENE	ABIOTIC STRESS RESPONSE
GBETA	SIGNALING EVENTS
VIRUS MOVEMENT PROTEINS	CARGOS TO PLASMODESMATA FOR CELL-TO-CELL SPREAD VIA AN ENDOCYTIC RECYCLING PATHWAY
SAC3	TREX-2
LKP1	LEAVES
PCRK2	SA BIOSYNTHESIS
LSU	JASMONIC ACID
FT	FT RNA EXPRESSION
PROTEIN-PROTEIN INTERACTIONS	CYCLIN-DEPENDENT KINASES
FRET-FLIM	PLANT CELL BIOLOGY
ICX1	CHS EXPRESSION
ATYPICAL TRXS	MODULATE REDOX STATE OF CHLOROPLAST PROTEINS
DDB1	E3 LIGASES
ATMPK6	BY PHS-P TREATMENT
BETA-SUBUNIT OF AP-3 ADAPTOR COMPLEX	INT1/SUC4 LOCALIZATION
CPP1	CHLOROPHYLL SYNTHESIS
PGK1	CHLOROPLASTS
NFU3	4FE-4S- AND 3FE-4S-CONTAINING PROTEINS
CYTOKININ	SULFATE UPTAKE
BLUMERIA GRAMINIS F.SP. HORDEI	CYP83B1 AND SUR1
PMR5	CELL WALL COMPOSITION
QUANTITATIVE REVERSE TRANSCRIPTION-PCR	GENE EXPRESSION
HXK1	V-ATPASE
PPGPP	COOPERATION BETWEEN CHLOROPLAST AND NUCLEOCYTOPLASMIC COMPARTMENT
DEFICIENCY OF WATER/PHOSPHATE	LIGNIN DEPOSITION
GSDA	CYTIDINE/DEOXYCYTIDYLATE DEAMINASE FAMILY
WRKY70	STOMATAL CLOSURE
ATCLC-A	CHLOROSIS IN MUTANT PLANTS
ACBP1	PLASMA MEMBRANE
PAB1	POLY (A) BINDING PROTEIN
KNAT3	ARABIDOPSIS ROOT
ATSRT2	OVEREXPRESSION
TTL	CYTOPLASMIC PLASMA MEMBRANE
HAF2	CHLOROPHYLL ACCUMULATION
MED COMPLEX	REGULATORY INFORMATION
PPR PROTEIN	MITOCHONDRIA
NMT1	SHOOT APICAL MERISTEM DEFECTS
LAC17	LIGNIN BIOSYNTHESIS
DOF4.1	SEED LONGEVITY
PLS GENE	GROWTH-INHIBITORY EFFECTS OF EXOGENOUS AUXIN
CASPASES/PARACASPASES	SECOND S-NITROSYLATION-INSENSITIVE CYSTEINE
KNS4/UPEX1	GALT8 MUTANT PHENOTYPES
TAP46	ABA ACTION
ATECI2	ATECI3
SMT1	POOR GROWTH AND FERTILITY
ABA	PHYSIOLOGICAL TRAITS
ROP/RAC GTPASES	DOWNSTREAM EFFECTORS
ATLCB2	SPT
PPC(OSPI4K2)	FUSION PROTEINS TO PLASMA MEMBRANE
PIE1	SHOOT APEX
MAX2	LEAF SENESCENCE
EXECUTER1	(1)O2-INDUCED UP-REGULATION
PEX12	DSK2B
FYRN/FYRC	NAC050/052
TRYPTOPHAN PATHWAY GENES	CYP83B1 MUTATION
ATMS1 MUTATION	S-ADENOSYLMETHIONINE TO S-ADENOSYLHOMOCYSTEINE RATIO
11 PROTEINS	POLLEN MEMBRANES BY GPI ANCHORING
ATBS1-D	93-AMINO ACID ATYPICAL BHLH PROTEIN
ATPP2CA	PP2CAOX MUTANT
RTFL MEMBERS	FOUR CLADES
GIP1	NUCLEUS
ATE2FC	PLANT RETINOBLASTOMA-RELATED PROTEIN
STM	SAM MAINTENANCE
ATPLC1	ABA SENSITIVITY
MUTANT LACKING ORGANELLAR THYMIDINE KINASE	DEOXYRIBONUCLEOTIDE LEVELS
RPA2	HISTONE H3 METHYLATION AT LYSINE 9
MIR160A	EMBRYO DEVELOPMENT
MDR4	BASIPETAL AUXIN TRANSPORT
FTL1/DDF1	TOLERANCE TO LOW TEMPERATURES AND SALT STRESS
AGL79	EARLY FLOWERING TIME
GFP	ROOT PERICYCLE CELLS
MPK3	PTI1-4
XLG3	AGB1
COR15A	IN VIVO FREEZING TOLERANCE
STEM TORSION	BIMODAL PHYLLOTACTIC PATTERN
ATGCN2	ADJACENT PROTEIN KINASE AND HISTIDYL TRNA SYNTHETASE-LIKE DOMAINS
ATPGF10	PA-OGAS
FRA8 MUTATION	FIBER WALL THICKNESS
RCAR3	ABI1/ABI2
GENE	UV-ABSORPTIVE SECONDARY PRODUCTS
ECTOPIC ATBG1	ENHANCED TOLERANCE TO ABIOTIC STRESS
LIGHT	ANION CHANNELS
RMA1H1	ER
BAC2	D-ARGININE AND D-LYSINE
PCH2/TRIP13	ASY1
GAPDH	DTT
ATYSL3	IRON TRANSPORTER
EIF3H	TOR/S6K1
IAA8	NUCLEUS AND CYTOSOL
MYB30	ACYL-COA ELONGASE COMPLEX
STPL	CUC GENES
PIN6	AUXIN HOMEOSTASIS
RCPPC3	P107
MISSENSE MUTATION	DELAYED LEAF SENESCENCE
MUTANT KOR1	ABERRANT CELL PLATES
APD2	PMII
TMT1	GLUCOSE UPTAKE
ARANET	LRS1
ATLHT2	TAPETUM TISSUE OF ANTHERS
SVALKA-ASCBF1 CASCADE	FREEZING TOLERANCE
GASA10	CELL WALL
CO	TCP7
NONLIGNIFIED CELLS	LAYERS OF LIGNIFIED CELLS
TTG	NEIGHBORING CELLS
NF-Y	NF-YA, NF-YB/NF-YC
KOD	MITOCHONDRIAL MEMBRANE DEPOLARIZATION
TROL	DOCKING SITE
PRF3	CELL ELONGATION
ATPUB48	E3 UBIQUITIN LIGASE
KNOLLE	NPSN11
NP_190301.2	PUTRESCINE AS MAIN ACYL-ACCEPTOR
ABA	STOMATAL APERTURE
SDI1	ALIPHATIC GSL BIOSYNTHETIC GENES
DPD1	MITOCHONDRIA
ATSK11(ASKALPHA)	NUMBER OF PERIANTH ORGANS
H3.3	ZYGOTE
GROWTH CONTROL	MOBILE SIGNALS
PAN	REPORTER
FB1	PCD
ATSIA1	ROS TOLERANCE
LHCP	TARGETING COMPLEX WITH CPSRP43
ATEB1A-GFP	MINUS END
NAHG	XTH8 AND XTH31 EXPRESSION IN SIZ1 PLANTS
SPL10	ARABIDOPSIS PLANT DEVELOPMENT
ENZYMES ENCODED BY BACTERIAL MURE GENES	FORMATION OF URIDINE DIPHOSPHATE-N-ACETYLMURAMIC ACID-TRIPEPTIDE
OTP87 GENE	RNAS SURROUNDING EDITING SITE
ATMGT1	OTHER DIVALENT CATIONS
HISTONE H2B	NUCLEUS
RING-HCA	IN VITRO
SPIK	K(+) INFLUX
CRTI	LYCOPENE FORMATION FROM PHYTOENE
RAF43	SEED GERMINATION AND ROOT GROWTH
STARVATION/WOUNDING/PATHOGEN ATTACK	TRYPTOPHAN PATHWAY GENES
ATMBD6	ATNTF2
PCAP2	SUBAPICAL PLASMA MEMBRANE
QC PROTEINS	BOTH PLANTS
SNRK1	REGULATORY BETA SUBUNIT/ACTIVATING GAMMA SUBUNIT
PYRUVATE DEFICIENCY	IN NHD1 MUTANTS
ATBHLH68	ATCYP707A3
SA	PATHOGEN RESISTANCE
MICROARRAY ANALYSIS	CHANGES IN EXPRESSION OF TRANSCRIPTION FACTOR FAMILIES
ORT1P	ATMBAC1 AND ATMBAC2
ATC	VASCULATURE TO APEX
MUTANT SCREEN	2,6-DICHLOROISONICOTINIC ACID
UPM1	A. THALIANA GENOME
HAN	ITS OWN PROMOTER, GNC PROMOTER
ER	ERL1, ERL2, AND TMM
DREB1/CBFS	COLD-RESPONSIVE GENE EXPRESSION
NST1	SECONDARY WALL THICKENING
SUR2	IAA SYNTHESIS
AAP8	SILIQUES AND DEVELOPING SEEDS
ROS	PLANT METABOLISM
AKIN10	PTL
WRKY13	LIGNIN-SYNTHESIS-RELATED GENES
AKIN11	UNDER LIMITED CONDITIONS
EXOCYST	RAB AND RHO GTPASES
CGF1	GROWTH DEFECTS
PHYB	PHYC-PHYE
AUXIN	ICR1 EXPRESSION
ATNAD-ME1/ATNAD-ME2	DIMER
HXK	TOMATO
RAF10	ENHANCED ABA SENSITIVITY
ATXRCC3	MALE AND FEMALE GAMETOGENESIS
REC8	SEPARASE
RNA BLOT ANALYSIS	ENDOGENOUS MARKER GENES
FIB4	RESISTANCE TO BACTERIAL PATHOGENS
AT CFL1	SPECIALIZED EPIDERMAL CELLS
CELL WALL SYNTHESIS/REMODELING/INTERCELLULAR SIGNALING/ADHESION	IMPORTANT ROLES IN POLLEN TUBE GROWTH
TDS4	TDS4-1
EIL1	SALT TOLERANCE
EHD1 OVEREXPRESSION	SALT STRESS
TCP4	JA SYNTHESIS
RHG GENE	LOWER PART OF CHROMOSOME 1
BZIP63	LSD1
MUTATION IN MGP1	MITOCHONDRIA
O-GLYCOSYLATION	CELL ELONGATION
ATCUL1	NORMAL JA RESPONSES
OSPUT1	MATURATION RATE OF SILIQUES
CTS	GERMINATION
EIF4A-III	NUCLEOLUS
XERICO	PLANT HORMONES
BSH	BUSHY GROWTH AND FLOWERS UNABLE TO PRODUCE SEEDS
NRG2	NITRATE SIGNALING
FCA	PROXIMAL POLYADENYLATION
TWO PEPTIDES	CELL WALL-PLASMA MEMBRANE ADHESIONS
CYP735A1	TZ BIOSYNTHESIS
CLV1	MERISTEMATIC ACTIVITY
SIZ1/SIZ2	SUMO E3 LIGASE FUNCTIONS
SYP4	TGN
HY5	MYBD PROMOTER
MIR163	DEFENSE RESPONSE
AUXIN	XBAT32 LATERAL ROOT PRODUCTION
CONCANAMYCIN A	POLLEN TUBE GROWTH
CGA1	CHLOROPLAST DEVELOPMENT
SNAT1-OVEREXPRESSING LINE	TOLERANCE OF HL STRESS
ATCHR12	EXPRESSION OF DORMANCY-ASSOCIATED GENES
P107	P64
BRASSINOSTEROID HORMONE	CELL ELONGATION
ATRH36 MUTANTS	HOMOZYGOSITY
BABA-IR	PRIMING
CMKS CDNA	GA2 MUTANT
WIT1	MYOSIN XI-I
GSO1; GSO2	CELL PROLIFERATION
CLB19	EDITING OF TWO TARGET SITES
CIS-NAT-SIRNA	SPERM FUNCTION DURING DOUBLE FERTILIZATION
ANTIBODIES	PROTEINS
ECD2	CHLOROPLAST GENE EXPRESSION
PYR/PYLS	ABA RECEPTORS
RDR6	MICRORNA165/166
CTL1	AUXIN DISTRIBUTION
GENE	SER79
ATE2FS	E2F-RESPONSIVE REPORTER GENE
CPR5	HYS1 GENE
SULTR1;1	SULPHATE UPTAKE
CDC48	MP
DSO/ABCG11	ROOT SUBERIN COMPOSITION
ATSERPIN1	SERPIN-PROTEASE COMPLEX
ATPP2CA	ABA INSENSITIVITY
LECRK-IX.1	N. BENTHAMIANA
SMC1	SISTER CHROMATID ALIGNMENT
NRPD1	SHH1
PIL6	APRR1/TOC1
CCA1	PRR5-11 PRR7-11
WT-BOX	PROMOTERS OF GENES
ATS40-3	WRKY53
HSL1	GENES INVOLVED IN TREHALOSE SYNTHESIS
IAN GENES	UPR
HORMONE	RECEPTOR
SMO2-1/+ SMO2-2 MUTANT	
UBC8 FAMILY	UPL1/2
AHA2	PLASMA MEMBRANE
ATGT2L	DNA
AP2/ERF	PRIMARY CELL WALL DEPOSITION
ATRLPH2	TYROSINE-PHOSPHORYLATED PEPTIDES
TRANSCRIPTIONAL REPORTER CONSTRUCTS	SPECIFIC AND STRONG ACTIVATION OF SIM/SMR GENES
ERF6	MPK6
HRS1	G2-LIKE TRANSCRIPTION FACTORS
OXALACETATE, GLUTAMINE, ASPARAGINE	MD REACTION
ATCRY1	ATP
EID1	NEGATIVE REGULATOR
TOE1	CO
HDAC INHIBITOR	SALT TOLERANCE
FHY3/FAR1	FHY1/FHL TRANSCRIPTION
TYRDC	CYTOPLASM
TMM	CHAL & EPFS
MITOCHONDRIAL INNER MEMBRANE	PROTEOLYTIC ACTIVITY AGAINST ORF239
SNRK2 SERINE/THREONINE PROTEIN KINASE	PA
OPL2	OPS
DELETIONS/MUTATIONS	CO AND CD TOLERANCE IN YEAST
HIGH EXTERNAL PH	INCREASE IN CYTOSOLIC-FREE CALCIUM
AMINOCYCLOPROPANE-1-CARBOXYLIC ACID	SYSTEMIC ACCUMULATION OF TMV-CG
RAB-GDI PROTEINS	RAB PROTEINS
BLUE LIGHT	FKF1-CO INTERACTION
ATIPK2BETA	ATIPK2
LUT2	EPSILON RING CYCLIZATION
LHP1	H3K27ME3
VLCFA	ABIOTIC STRESS SIGNALING/RESPONSES
CAND2/PMTR1	STOMATAL CLOSURE
KNOCKDOWN	STUNTED GROWTH, NARROW PALE LEAF BLADES, ABNORMAL FLOWER MORPHOLOGY
WHIRLY3	EXPRESSION LEVEL IN EARLY STAGES OF SHOOTS DEVELOPMENT
GSM1-1	GLC-INDUCED ABA-RESPONSIVE GENES
YKT61-3 MUTANT	SINGLE-AMINO ACID DELETION
HHRZ	PHYSIOLOGICAL MG(2+) CONCENTRATIONS
RHM1	UDP-RHAMNOSE
PI4KALPHA1	PI4P
ROPGEF FAMILY	DUF315 DOMAIN
CALLUS	ROOT MERISTEM
PLANT PROFILINS	IN PRESENCE OF FH1-FH2
FRA8 MUTATION	XYLOGLUCAN AND PECTIN
MAR1	LOW IRON
GENE	TRNA SYNTHETASES
ATSARK	LEAF SENESCENCE
ALAAT1 KNOCKOUT MUTANT (ALAAT1-1)	ALAAT ACTIVITY
TCP15	FEEDBACK LOOP
DET3	RESPONSE TO BRASSINOSTEROIDS
POST-TRANSLATIONAL MODIFICATIONS	DEGRADATION OF RAP2.12
STOMATAL MOVEMENT	VACUOLAR VOLUME
SPT	CONSERVED DOMAINS
SOT	TRANSFORMATION OF XENOBIOTICS
SUFE3	SUFE-LIKE AND NADA DOMAINS
POL IV	POL V
SMALL PROTEINS	EFFECTORS
AKINBETAGAMMA	TWO LEUCINE-RICH REPEATS
ATTIL1-1/2	WT
GATA ZINC FINGER PROTEIN	GA SIGNAL TRANSDUCTION
XPC/RAD4	RAD23P
GST1-GUS	GUS
IQD1	CALMODULIN
AGLUCONES	DEFENSIVE ISOTHIOCYANATES
SUP	INO TRANSCRIPTION
ATC3H17	NUCLEUS
DRL1	CYTOSOL AND NUCLEUS
LRX1/LRX2 CHIMAERIC PROTEINS	FUNCTION
ATAMT1;1	NITROGEN SUPPLY
LYSM RLK1-YEGFP	IN VITRO
PRK6	CORE TIP-GROWTH MACHINERY
P92L MUTATION	POSITIONING OF CATALYTIC AMINO ACID RESIDUES
POLAR AUXIN TRANSPORT	LOW LIGHT INTENSITY
TRANSPARENT TESTA 16	SUB-EPIDERMAL INTEGUMENT CELL LAYER
MAM1	PRIMARY METABOLIC ENZYMES
PROTEIN	MEMBRANE TARGETING SIGNAL SEQUENCE
ATBZIP1	SUGAR-RESPONSIVE GENES
SIGNAL	EXPRESSION OF PLASTID- AND NUCLEUS-ENCODED GENES
PVIP	POTYVIRUS MOVEMENT IN PLANTS
ADH	INTERCONVERSION BETWEEN ALCOHOLS AND ALDEHYDES
EIF5A	PROGRAMMED CELL DEATH
AUX/IAA	SHORT-LIVED AND NUCLEAR-LOCALIZED
ATACER	AUTOPHAGY PROCESS
ROIS	ATRBOH
ATACDO1	DEVELOPMENTAL DEFECTS
CERK1	BACTERIAL GROWTH
CYP79B2/CYP79B3	ROOT-LOCALIZED IAA SYNTHESIS
MYB3R4	E2FB
HAT2	AUXIN
ABSCISIC ACID	ROOT SURVIVAL
NPR4	MRNA LEVELS FOLLOWING PATHOGEN CHALLENGE/SA TREATMENT
UGT76C2	DREB2A, RD22, RD29B, LEA, COR47, KIN1
ABA	EXTRA BULK AROUND DOUBLE BOND
PYRUVATE	ACETATE
ABCG40	ULS1/2
ATX1-LIKE DOMAIN	COPPER CHAPERONE FUNCTION OF ATCCS
ATSUNS	NUCLEAR SHAPE
LIPID ANCHORING/SCAFFOLDING	PI4KALPHA1 TO PLASMA MEMBRANE
CIA1 MUTANT	PROTEIN IMPORT EFFICIENCY
ATGSTF9	GLUTATHIONE PEROXIDASE WITH CUMHPO
PHYB	CRY1
PUCHI	BOP1/2
3-PHOSPHOGLYCERATE	PGDH
EMS1	SOMATIC AND REPRODUCTIVE CELL FATE DETERMINATION
ACBP2	SUBCELLULAR FRACTION CONTAINING LARGE PARTICLES
FUSCA5	27-KD SUBUNIT OF COP9 COMPLEX
ATNG1	MITOCHONDRION
CYCD3	DISEASE RESISTANCE
DPA	FBL17 EXPRESSION
ACBP2	GFP
PACLOBUTRAZOL	RDO1
ATSUN1	INM
GBETA	ARD1
LCD1-1	ELEVATED ROS
CPISCA	CPNIFS
ARABIDOPSIS THALIANA TYPICAL COILED-COIL (CC)-NBS-LRR (CNL) PROTEIN RESISTANCE TO PSEUDOMONAS SYRINGAE 5 (RPS5)	PSEUDOMONAS SYRINGAE TYPE III EFFECTOR AVRPPHB
AT14A	PLASMA MEMBRANE
FARNESYLATION	PROTECTIVE FUNCTION
TRYPTOPHAN-DEPENDENT (TRP-D) IAA SYNTHESIS	WHEN GROWN ON UNSUPPLEMENTED MEDIUM
SDP	RRNA PROCESSING
AHL1	PPC DOMAIN
ALBSMT1	METHYLATION OF SA
SECONDARY WALL-BEARING CELLS	LIGNOCELLULOSIC BIOMASS
KN	SYNTAXINS
ECS1	XCC750 RESISTANCE
CRM DOMAIN PROTEINS	THREE CLASSES OF CATALYTIC RNA
SECOND DOMAIN	POLAR MEMBRANE DOMAIN
SAT	OAS-TL
HSP21	PEP-DEPENDENT TRANSCRIPTION
CARRIER	METHYLATION REACTIONS
PROLINE RESIDUE	HOMODIMER FORMATION
SGT1B	SCF UBIQUITIN LIGASES
C-TERMINAL HELIX	SUBSTRATE ACCESS
GENE	HYDROXYMETHYL GROUP TRANSFER
ATWRKY18	PLANT GROWTH
ATCHX GENES	HOMEOSTASIS
ATPIN2	AUXIN
CDC45	DNA REPLICATION
COR15AM	POTENTIAL STROMAL SUBSTRATES IN VIVO
MRNA	RDRP
CLATHRIN-MEDIATED ENDOCYTOSIS	NRT1.1 ENDOCYTOSIS
BOTRYTIS CINEREA	FUNCTIONAL SUCROLYTIC MACHINERY
P58(IPK)	VIRUSES FOR VIRULENCE (PLANTS)
BOR2	SHOOT GROWTH
MGP2	NORMAL POLLEN GERMINATION
ATMEK5	ATMAPK3
ATU2AF35	NUCLEI AND CYTOPLASMS
PRP39A	U1 SNRNP
ANTIBODIES TO ATTIM17-2	IMPORT OF PROTEINS VIA GENERAL IMPORT PATHWAY
RPT2	SENSITIVITY TO MITOMYCIN C AND AMINO ACID ANALOGS
ATTIP1;1	VITRIFIED PHENOTYPES
COX19	MIR398B
OCP3	INFECTION BY NECROTROPHIC FUNGI
GLN2	TRANSGENIC PLANTS
BET5	AUXIN RESPONSE
COBL7	ROOT HAIR GROWTH
IDD4	GROWTH AND DEVELOPMENT
CAM7	CONVENTIONAL CALMODULIN PROTEIN
RGI1	RGF1
CDC48/P97	UIM-DIRECTED AUTOPHAGY
BES1-D, BZR1-D, BSU1-D	ABA-MEDIATED INHIBITION OF ROOT GROWTH
PME ACTIVITY	PME48-/-
P450 ENZYMES	LIGNIN DEPOSITION
ATARP7	CHROMATIN STRUCTURE
SIGNAL	LEAF MORPHOLOGY AND CELLULAR DIFFERENTIATION
HOMOZYGOUS MUTANTS	EIGHT NOVEL GENES INVOLVED IN ROOT HAIR ELONGATION
LORE	PSEUDOMONAS SYRINGAE
PPA1	CYTOSOL AND NUCLEI
NPH1	ESSENTIAL COMPONENT
TIMING-OF-CAB1	MOLECULAR COMPONENTS OF CIRCADIAN OSCILLATOR
CDT1 PROTEINS	GAMETOPHYTE DEVELOPMENT
GLRS	NO AND ROS PRODUCTION
AKIN10	NUCLEAR EXPORT SEQUENCE
WUSCHEL	PGA37/MYB118 INDUCTION
SUPPRESSORS	MUTATIONS
BPE	PETALS
EXOCYST	PIN1/2 RECYCLING
ALPHA-MANNOSIDASE	TOBACCO SUSPENSION-CULTURED CELLS
FOU2 MUTANT	RESISTANCE TO BOTRYTIS CINEREA
ACYL ACID BINDING SITE	GH3 FAMILY
CPN10	MRNA
PLD ENZYME	GPI-ANCHORED PROTEINS
WILD TYPE ARABIDOPSIS	LOW LEVELS OF PIPECOLATE
AFBA1	EXPRESSION OF NEGATIVE REGULATORS OF ABA SIGNALING
SOQ1 GENE	THYLAKOID MEMBRANE PROTEIN
MIP1A/B	VASCULAR TISSUE
PEA LEAF MITOCHONDRIA	CHLOROPLAST PROTEINS
TPC1	SLOW VACUOLAR CHANNEL
GLCNAC TRANSFERASE I	TRUNCATED PAUCIMANNOSIDIC N-GLYCANS
GA	SEED GERMINATION
ATSCE1A	SUMO
VIOLAXANTHIN	ABA PRODUCTION
ATSPP	POLLEN MATURATION
RCS2	SMALLEST TESTED FRAGMENT OF RIN4
FATB	SATURATED FATTY ACIDS FOR WAX BIOSYNTHESIS
RHL2	LEAF TRICHOME PATTERNING
HMPPK/TMPPASE	CHLOROPLAST
PHOSPHORYLATION CODES	CELL-TYPE-SPECIFIC MANNER
ABCG26	TAPETAL CELLS
WS/DGAT	KNOWN ACYLTRANSFERASES
POL V	PLANT IMMUNITY
NAD-ME	AMINO ACIDS AND GLUCOSAMINE
FLG22	PATHOGENESIS-RELATED PROTEINS
PAP5	PR1
NAC	STRESS RESPONSES
RDR6	
ATUBP4	ALL ARABIDOPSIS ORGANS
ATMPT	MRNA ACCUMULATION
ATAURORA1	SWITCH FROM CELL PROLIFERATION TO DIFFERENTIATION
AUXIN AGONISTS/ANTAGONISTS	TIR1
ATLOX2	EIF4E
XCP2	DISINTEGRATING MATERIAL
TMM	STOMATAL SIGNAL TRANSDUCTION
ATU2AF65	NUCLEI AND CYTOPLASMS
PRH75	WEAK ATPASE ACTIVITY
ATICMTA	ATSTE24, ATRCE1, ATICMTA, AND ATICMTB
ACL5	PROLIFERATIVE ACTIVITY OF FLOWER-PRODUCING MERISTEMS
OSRPA70A	ADDITIONAL 32 AND 14-KDA SUBUNIT HOMOLOGS
MAT3	MET
AT2G37585	ATGLCAT14C
GEK1	TWO ZINC IONS
PP2A B'GAMMA	BASAL REPRESSION OF DEFENSE RESPONSES
RPT2	NUCLEOSOME ASSEMBLY
ATDMPS	A. THALIANA
POLIB	ORGANELLE DNA REPLICATION
GROUP II INTRONS	NUCLEAR-ENCODED PROTEINS
ATYAK1	ARABIDOPSIS THALIANA
CER1	CUTICLE PERMEABILITY
PIFI	NDH-MEDIATED NONPHOTOCHEMICAL REDUCTION OF PQ POOL
TFIIS	TRANSCRIPTION
ATIPK2ALPHA	SEED GERMINATION AND EARLY SEEDLING GROWTH
ATPLDDELTA	ACCUMULATION OF PTDOH IN RESPONSE TO DEHYDRATION
CAD1	BACTERIAL GROWTH
ATR-2	REPLICATION-BLOCKING REAGENTS
EOL1	ACTIVELY DIVIDING CELLS
LHT1	UPTAKE OF AMINO ACIDS
EXTRA 18	SN-2 POSITION OF GLYCEROLIPIDS
POLLEN TUBE	IN INTERSPECIFIC CROSSES
ROXY1/2	OVERLAPPING PATTERNS DURING ANTHER DEVELOPMENT
BL	PROTEIN GROUPS
GENE	PREPROTEIN DOMAIN
ATR	GROWTH DEFECT
KCA1	KDZ
PHO1;H1	PI-DEFICIENT CONDITIONS
ATMOB1-LIKE	MALE SPOROGENESIS
MUTANT ALLELE	REDUCTION IN CELLULOSE SYNTHESIS
ATPUT3	CHLOROPLAST
CDB1	PLASTID-ENCODED PROTEINS
DSRNA	TARGET GENE SUPPRESSION
ATRIBA2/3	ATRIBA1
SOS3	SOS2 PROTEIN KINASE
ATDPG1	ABA
A. THALIANA HOMOLOGS	FUNCTIONAL SPECIALIZATION
OSMOTIC STRESS	HYPERACTIVE GENES IN ARP6
ROF1	GERMINATION UNDER SALINITY STRESS
U4ATAC SNRNA	U6ATAC SNRNAS
TMM	STOMATAL INITIATION
ATC/VIF2	CWI AND VI
PHOSPHORYLATION	CYTOPLASMIC CA(2+) ACTIVATION
AT-PRXII F	PLANT MITOCHONDRION
CLPX	ARABIDOPSIS THALIANA CDNA
ATBCAT-1	ESSENTIAL AMINO ACIDS
ATXR7	EXPRESSION OF SNC1 AND RPP4
WTF1	GROUP II INTRON RNAS
TIP	TONOPLAST
OBG	BACTERIAL VIABILITY
VUP1	SECONDARY CELL WALL DEPOSITION
TOXINS	PEN3/PDR8
NDPK IA	GCN4 PHENOTYPE
PROTEIN	CTP
ATPRODH	ATP5CDH EXPRESSION
NMT2	FLOWERING
AT5G41040	ALIPHATIC SUBERIN FERULATE
TES	JMJ24
FOCL1	GUARD CELL OUTER CUTICULAR LEDGE
AT3G48330	PROTEIN-L-ISOASPARTATE METHYLTRANSFERASE
HSP90	TISSUE-SPECIFIC RESPONSES TO ABA
F5H	SINAPYL DERIVATIVES
DPA4	LATERAL ORGAN BOUNDARY REGION
FUNCTIONAL INTERRUPTION OF VGD1	POLLEN TUBE GROWTH
D1	PRATA
UGT74F1 MUTANTS	SGE, SAG & DHB5G
TRAUCO (TRO)	NUCLEUS
LATERAL ROOT FORMATION	AUXIN SIGNALING PATHWAY
ATPUSS/ZMPUSS	VARIOUS TISSUES
SIG1	PS I GENES
RRL	AOX1A EXPRESSION
AKT2	ATPP2CA
VRN1	ARABIDOPSIS CHROMOSOMES
ARA6	
ORF291 TRANSCRIPT	TRNA-LIKE STRUCTURE
TOR	MAF1 DEPHOSPHORYLATION
PARP1	BNHEJ
ATCGE2	THROUGH HOMO- AND/OR HETERO-OLIGOMERIZATION
BPS1	CONSTITUTIVE PRODUCTION
AZD-8055	WMV INFECTION
